"id","sku","tipo","","post_title","post_description","post_excerpt","image","post_name","post_status","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","price","sale_price","weight","length","width","height","tax_status","tax_class","tax:product_cat","tax:product_tag","tax:product_brand","atributo color","attribute:Color","attribute_data:Color","attribute:Color","atributo talla","attribute:Size","attribute_data:Size","attribute_global:Zise","atributo silueta","atributo silueta","attribute_data:Silueta","attribute_global:silueta","","","","","","","","","","",""
"015736","013811","variable","","CALM PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA","","CALM-PIPING-BRIEF","publish","no ","no ","visible","","instock","no ","no ","35,800","","","","","","taxable ","","Brief > Luxury","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Color","Negro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Clásico","1","1","","","","","","","","","","",""
"015737","014001","variable","","SPIRITUAL PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual.","BRIEF MICROFIBRA ","","SPIRITUAL-PIPING-BRIEF","publish","no ","no ","visible","","instock","no ","no ","24,900","","","","","","taxable ","","Brief > Luxury","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Color","Blanco ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Clásico","1","1","","","","","","","","","","",""
"015738","014011","variable","","SPIRITUAL PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual.","BRIEF MICROFIBRA ","","SPIRITUAL-PIPING-BRIEF","publish","no ","no ","visible","","instock","no ","no ","24,900","","","","","","taxable ","","Brief > Luxury","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Color","Negro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Clásico","1","1","","","","","","","","","","",""
"015739","015808","variable","","INSIDE PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual.","BRIEF MICROFIBRA ","","INSIDE-PIPING-BRIEF","publish","no ","no ","visible","","instock","no ","no ","33,100","","","","","","taxable ","","Brief > Luxury","Brief  Clásico","Polyester 93% > Elastane 7% | Microfibra","Color","Azul Oscuro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Clásico","1","1","","","","","","","","","","",""
"015740","014201","variable","","FULLNESS BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","FULLNESS-BRIEF","publish","no ","no ","visible","","instock","no ","no ","36,600","","","","","","taxable ","","Brief > Casual","Brief  Slim ","Nylon 76% > Elastane 24% | Microfibra","Color","Blanco ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Slim ","1","1","","","","","","","","","","",""
"015741","014211","variable","","FULLNESS BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA","","FULLNESS-BRIEF","publish","no ","no ","visible","","instock","no ","no ","36,600","","","","","","taxable ","","Brief > Casual ","Brief  Slim ","Nylon 76% > Elastane 24% | Microfibra","Color","Negro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Slim ","1","1","","","","","","","","","","",""
"015742","014907","variable","","WISDOM BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF ALGODÓN ","","WISDOM-BRIEF","publish","no ","no ","visible","","instock","no ","no ","26,200","","","","","","taxable ","","Brief > Casual","Brief  Slim ","Cotton 96% > Elastane 4% | Algodón","Color","Azul Claro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Slim ","1","1","","","","","","","","","","",""
"015743","014910","variable","","WISDOM BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF ALGODÓN ","","WISDOM-BRIEF","publish","no ","no ","visible","","instock","no ","no ","26,200","","","","","","taxable ","","Brief > Casual","Brief  Slim ","Cotton 96% > Elastane 4% | Algodón","Color","Verde Militar ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Slim ","1","1","","","","","","","","","","",""
"015744","015108","variable","","PHENOMENON BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA","","PHENOMENON-BRIEF","publish","no ","no ","visible","","instock","no ","no ","29,200","","","","","","taxable ","","Brief > Luxury","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Color","Azul Oscuro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Clásico","1","1","","","","","","","","","","",""
"015745","015113","variable","","PHENOMENON BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","PHENOMENON-BRIEF","publish","no ","no ","visible","","instock","no ","no ","29,200","","","","","","taxable ","","Brief > Luxury","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Color","Gris","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Clásico","1","1","","","","","","","","","","",""
"015746","015208","variable","","PHENOMENON THONG","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","TANGA MICROFIBRA ","","PHENOMENON-THONG","publish","no ","no ","visible","","instock","no ","no ","26,700","","","","","","taxable ","","Tanga > Luxury","Tanga  Slim ","Nylon 78% > Elastane 22% | Microfibra","Color","Azul Oscuro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Tanga, Slim ","1","1","","","","","","","","","","",""
"015747","015213","variable","","PHENOMENON THONG","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","TANGA MICROFIBRA ","","PHENOMENON-THONG","publish","no ","no ","visible","","instock","no ","no ","26,700","","","","","","taxable ","","Tanga > Luxury","Tanga  Slim ","Nylon 78% > Elastane 22% | Microfibra","Color","Gris ","1","1","Talla","S, M, L, XL","1","1","Silueta","Tanga, Slim ","1","1","","","","","","","","","","",""
"015748","014501","variable","","DEEP JOCKSTRAP","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-JOCKSTRAP","publish","no ","no ","visible","","instock","no ","no ","30,300","","","","","","taxable ","","Suspensorio > Luxury","Suspensorio  Slim","Nylon 94% > Elastane 6% | Microfibra","Color","Blanco","1","1","Talla","S, M, L, XL","1","1","Silueta","Suspensorio, Slim","1","1","","","","","","","","","","",""
"015749","014508","variable","","DEEP JOCKSTRAP","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-JOCKSTRAP","publish","no ","no ","visible","","instock","no ","no ","30,300","","","","","","taxable ","","Suspensorio > Luxury","Suspensorio  Slim ","Nylon 94% > Elastane 6% | Microfibra","Color","Azul Oscuro","1","1","Talla","S, M, L, XL","1","1","Silueta","Suspensorio, Slim ","1","1","","","","","","","","","","",""
"015750","014511","variable","","DEEP JOCKSTRAP","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-JOCKSTRAP","publish","no ","no ","visible","","instock","no ","no ","30,300","","","","","","taxable ","","Suspensorio > Luxury","Suspensorio  Slim","Nylon 94% > Elastane 6% | Microfibra","Color","Negro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Suspensorio, Slim","1","1","","","","","","","","","","",""
"015751","016205","variable","","WAY SWIMSUIT BRIEF","Traje de baño adecuado para disfrutar del agua o el sol. Elaborado en telas de alta tecnología que le dan ese nivel ideal de calidad y confort. ","BAÑADOR BRIEF ","","WAY-SWIMSUIT-BRIEF","publish","no ","no ","visible","","instock","no ","no ","54,300","","","","","","taxable ","","Bañador brief > Bañadores","Bañador Brief  Clásico","Polyester 85% > Elastane 15%  | Microfibra","Color","Rojo ","1","1","Talla","S, M, L, XL","1","1","Silueta","Bañador Brief, Clásico","1","1","","","","","","","","","","",""
"015752","016408","variable","","WILD SWIMSUIT BRIEF","Traje de baño adecuado para disfrutar del agua o el sol. Elaborado en telas de alta tecnología que le dan ese nivel ideal de calidad y confort. ","BAÑADOR BRIEF ","","WILD-SWIMSUIT-BRIEF","publish","no ","no ","visible","","instock","no ","no ","54,301","","","","","","taxable ","","Bañador brief > Bañadores","Bañador Brief  Clásico","Polyester 85% > Elastane 15%  | Microfibra","Color","Azul Oscuro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Bañador Brief, Clásico","1","1","","","","","","","","","","",""
"015753","016501","variable","","INDIVIDUAL SWIMSUIT BRIEF","Traje de baño adecuado para disfrutar del agua o el sol. Elaborado en telas de alta tecnología que le dan ese nivel ideal de calidad y confort.","BAÑADOR BRIEF  ","","INDIVIDUAL-SWIMSUIT-BRIEF","publish","no ","no ","visible","","instock","no ","no ","56,800","","","","","","taxable ","","Bañador brief > Bañadores","Bañador Brief  Clásico","Polyester 85% > Elastane 15%  | Microfibra","Color","Blanco","1","1","Talla","S, M, L, XL","1","1","Silueta","Bañador Brief, Clásico","1","1","","","","","","","","","","",""
"015754","016511","variable","","INDIVIDUAL SWIMSUIT BRIEF","Traje de baño adecuado para disfrutar del agua o el sol. Elaborado en telas de alta tecnología que le dan ese nivel ideal de calidad y confort. ","BAÑADOR BRIEF ","","INDIVIDUAL-SWIMSUIT-BRIEF","publish","no ","no ","visible","","instock","no ","no ","56,801","","","","","","taxable ","","Bañador brief > Bañadores","Bañador Brief  Clásico","Polyester 85% > Elastane 15%  | Microfibra","Color","Negro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Bañador Brief, Clásico","1","1","","","","","","","","","","",""
"015755","016105","variable","","WAY ATLETA SHORT","Traje de baño adecuado para disfrutar del agua o el sol. Elaborado en telas de alta tecnología que le dan ese nivel ideal de calidad y confort. ","BAÑADOR SHORT  ","","WAY-ATLETA-SHORT","publish","no ","no ","visible","","instock","no ","no ","92,000","","","","","","taxable ","","Bañador Short > Bañadores","Bañador Short Corto ","Polyester 88% > Elastane 12%  | Microfibra","Color","Rojo ","1","1","Talla","S, M, L, XL","1","1","Silueta","Bañador Short Corto ","1","1","","","","","","","","","","",""
"015756","016308","variable","","WAY ATLETA SHORT","Traje de baño adecuado para disfrutar del agua o el sol. Elaborado en telas de alta tecnología que le dan ese nivel ideal de calidad y confort. ","BAÑADOR SHORT ","","WAY-ATLETA-SHORT","publish","no ","no ","visible","","instock","no ","no ","92,000","","","","","","taxable ","","Bañador Short > Bañadores","Bañador Short Corto ","Polyester 88% > Elastane 12%  | Microfibra","Color","Azul Oscuro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Bañador Short Corto ","1","1","","","","","","","","","","",""
"015757","015901","variable","","NIRVANA LONG PANT","Prenda deportiva exclusiva, ideal para realizar actividades físicas permitiendo la transpiración y frescura. Elaborado en microfibra con libertad en el movimiento y suave al tacto. ","LICRA INTERIOR DEPORTIVA ","","NIRVANA-LONG-PANT","publish","no ","no ","visible","","instock","no ","no ","62,600","","","","","","taxable ","","Licra interior deportiva > Ropa Deportiva","Licra deprotiva  Pantalón ","Nylon 78% > Elastane 22%  | Microfibra","Color","Blanco ","1","1","Talla","S, M, L, XL","1","1","Silueta","Licra deprotiva, Pantalón ","1","1","","","","","","","","","","",""
"015758","015911","variable","","NIRVANA LONG PANT","Prenda deportiva exclusiva, ideal para realizar actividades físicas permitiendo la transpiración y frescura. Elaborado en microfibra con libertad en el movimiento y suave al tacto.","LICRA INTERIOR DEPORTIVA  ","","NIRVANA-LONG-PANT","publish","no ","no ","visible","","instock","no ","no ","62,600","","","","","","taxable ","","Licra interior deportiva > Ropa Deportiva","Licra deprotiva  Pantalón","Nylon 78% > Elastane 22%  | Microfibra","Color","Negro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Licra deprotiva, Pantalón ","1","1","","","","","","","","","","",""
