"post_title","post_description","post_excerpt","image","post_name","post_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","$  28.300","sale_price","weight","length","width","height","tax_status","tax_class","tax:product_type","tax:product_cat","tax:product_tag","tax:product_brand","attribute:Color","attribute_data:Color","attribute:Size","attribute_data:Size"," ","","","","","","","","","","","","","",""
"CALM PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","CALM-PIPING-BRIEF","publish","013811","no ","no ","visible","","instock","no ","no ","35,800","","","","","","taxable ","","normal","Brief > Luxury > Negro | Clásico / BRIEF > LUXURY > BLACK | CLASSIC","Brief | Clásico / BRIEF | CLASSIC","Nylon 78% > Elastane 22% | Microfibra","Negro / BLACK","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"SPIRITUAL PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","SPIRITUAL-PIPING-BRIEF","publish","014001","no ","no ","visible","","instock","no ","no ","24,900","","","","","","taxable ","","normal","Brief > Luxury > Blanco | Clásico / BRIEF > LUXURY > BLANCO | ","Brief | Clásico / BRIEF | CLASSIC","Nylon 78% > Elastane 22% | Microfibra","Blanco / WHITE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"SPIRITUAL PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","SPIRITUAL-PIPING-BRIEF","publish","014011","no ","no ","visible","","instock","no ","no ","24,900","","","","","","taxable ","","normal","Brief > Luxury > Negro | Clásico / BRIEF > LUXURY > BLACK | CLASSIC","Brief | Clásico / BRIEF | CLASSIC","Nylon 78% > Elastane 22% | Microfibra","Negro / BLACK","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"INSIDE PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","INSIDE-PIPING-BRIEF","publish","015808","no ","no ","visible","","instock","no ","no ","33,100","","","","","","taxable ","","normal","Brief > Luxury > Blanco | Clásico / BRIEF > LUXURY > BLANCO | ","Brief | Clásico / BRIEF | CLASSIC","Polyester 93% > Elastane 7% | Microfibra","Azul Oscuro / DARK BLUE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FULLNESS BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","FULLNESS-BRIEF","publish","014201","no ","no ","visible","","instock","no ","no ","36,600","","","","","","taxable ","","normal","Brief > Casual > Blanco | Slim / BRIEF > CASUAL > WHITE | SLIM","Brief | Slim / BRIEF |SLIM","Nylon 76% > Elastane 24% | Microfibra","Blanco / WHITE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FULLNESS BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","FULLNESS-BRIEF","publish","014211","no ","no ","visible","","instock","no ","no ","36,600","","","","","","taxable ","","normal","Brief > Casual > Blanco | Slim / BRIEF > CASUAL > WHITE | SLIM","Brief | Slim / BRIEF |SLIM","Nylon 76% > Elastane 24% | Microfibra","Negro / BLACK","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"WISDOM BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF ALGODÓN / COTTON BRIEF","","WISDOM-BRIEF","publish","014907","no ","no ","visible","","instock","no ","no ","26,200","","","","","","taxable ","","normal","Brief > Casual > Azul | Slim / BRIEF > CASUAL > BLUE | SLIM","Brief | Slim / BRIEF |SLIM","Cotton 96% > Elastane 4% | Algodón","Azul Claro / LIGHT BLUE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"WISDOM BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF ALGODÓN / COTTON BRIEF","","WISDOM-BRIEF","publish","014910","no ","no ","visible","","instock","no ","no ","26,200","","","","","","taxable ","","normal","Brief > Casual > Verde | Slim / BRIEF > CASUAL > GREEN | SLIM","Brief | Slim / BRIEF |SLIM","Cotton 96% > Elastane 4% | Algodón","Verde Militar / MILITARY GREEN","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"PHENOMENON BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","PHENOMENON-BRIEF","publish","015108","no ","no ","visible","","instock","no ","no ","29,200","","","","","","taxable ","","normal","Brief > Luxury > Azul | Clásico / BRIEF > LUXURY > BLUE | CLASSIC","Brief | Clásico / BRIEF | CLASSIC","Nylon 78% > Elastane 22% | Microfibra","Azul Oscuro / DARK BLUE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"PHENOMENON BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","PHENOMENON-BRIEF","publish","015113","no ","no ","visible","","instock","no ","no ","29,200","","","","","","taxable ","","normal","Brief > Luxury > Gris | Clásico / BRIEF > LUXURY > GREY | CLASSIC","Brief | Clásico / BRIEF | CLASSIC","Nylon 78% > Elastane 22% | Microfibra","Gris / GREY","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
