"post_title","post_description","post_excerpt","image","post_name","post_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","price","sale_price","weight","length","width","height","tax_status","tax_class","tax:product_type","tax:product_cat","tax:product_tag","tax:product_brand","attribute:Color","attribute_data:Color","attribute:Size","attribute_data:Size"," ","","","","","","","","","","","","","",""
"CALM PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA","","CALM-PIPING-BRIEF","publish","013811","no ","no ","visible","","instock","no ","no ","35,800","","","","","","taxable ","","varieble","Brief > Luxury > Negro  Clásico ","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Negro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"SPIRITUAL PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual.","BRIEF MICROFIBRA ","","SPIRITUAL-PIPING-BRIEF","publish","014001","no ","no ","visible","","instock","no ","no ","24,900","","","","","","taxable ","","varieble","Brief > Luxury > Blanco  Clásico ","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Blanco ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"SPIRITUAL PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual.","BRIEF MICROFIBRA ","","SPIRITUAL-PIPING-BRIEF","publish","014011","no ","no ","visible","","instock","no ","no ","24,900","","","","","","taxable ","","varieble","Brief > Luxury > Negro  Clásico ","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Negro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"INSIDE PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual.","BRIEF MICROFIBRA ","","INSIDE-PIPING-BRIEF","publish","015808","no ","no ","visible","","instock","no ","no ","33,100","","","","","","taxable ","","varieble","Brief > Luxury > Blanco  Clásico ","Brief  Clásico","Polyester 93% > Elastane 7% | Microfibra","Azul Oscuro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FULLNESS BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","FULLNESS-BRIEF","publish","014201","no ","no ","visible","","instock","no ","no ","36,600","","","","","","taxable ","","varieble","Brief > Casual > Blanco  Slim ","Brief  Slim ","Nylon 76% > Elastane 24% | Microfibra","Blanco ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FULLNESS BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA","","FULLNESS-BRIEF","publish","014211","no ","no ","visible","","instock","no ","no ","36,600","","","","","","taxable ","","varieble","Brief > Casual > Blanco  Slim ","Brief  Slim ","Nylon 76% > Elastane 24% | Microfibra","Negro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"WISDOM BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF ALGODÓN ","","WISDOM-BRIEF","publish","014907","no ","no ","visible","","instock","no ","no ","26,200","","","","","","taxable ","","varieble","Brief > Casual > Azul  Slim","Brief  Slim ","Cotton 96% > Elastane 4% | Algodón","Azul Claro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"WISDOM BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF ALGODÓN ","","WISDOM-BRIEF","publish","014910","no ","no ","visible","","instock","no ","no ","26,200","","","","","","taxable ","","varieble","Brief > Casual > Verde  Slim ","Brief  Slim ","Cotton 96% > Elastane 4% | Algodón","Verde Militar ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"PHENOMENON BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA","","PHENOMENON-BRIEF","publish","015108","no ","no ","visible","","instock","no ","no ","29,200","","","","","","taxable ","","varieble","Brief > Luxury > Azul  Clásico ","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Azul Oscuro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"PHENOMENON BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","PHENOMENON-BRIEF","publish","015113","no ","no ","visible","","instock","no ","no ","29,200","","","","","","taxable ","","varieble","Brief > Luxury > Gris  Clásico ","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Gris","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
